Phi[deg],Theta[deg],re(rETheta)[mV],im(rETheta)[mV]
-180,0,-195.381,-128.616
-178,0,-202.845,-134.234
-176,0,-210.061,-139.689
-174,0,-217.022,-144.974
-172,0,-223.718,-150.082
-170,0,-230.142,-155.007
-168,0,-236.285,-159.743
-166,0,-242.141,-164.285
-164,0,-247.701,-168.626
-162,0,-252.96,-172.762
-160,0,-257.91,-176.688
-158,0,-262.546,-180.398
-156,0,-266.863,-183.888
-154,0,-270.854,-187.155
-152,0,-274.515,-190.193
-150,0,-277.842,-193
-148,0,-280.83,-195.571
-146,0,-283.476,-197.905
-144,0,-285.777,-199.997
-142,0,-287.73,-201.845
-140,0,-289.332,-203.448
-138,0,-290.581,-204.803
-136,0,-291.477,-205.908
-134,0,-292.017,-206.762
-132,0,-292.201,-207.365
-130,0,-292.03,-207.714
-128,0,-291.503,-207.811
-126,0,-290.62,-207.655
-124,0,-289.384,-207.245
-122,0,-287.795,-206.583
-120,0,-285.855,-205.67
-118,0,-283.567,-204.505
-116,0,-280.934,-203.092
-114,0,-277.958,-201.431
-112,0,-274.644,-199.525
-110,0,-270.995,-197.376
-108,0,-267.016,-194.986
-106,0,-262.711,-192.358
-104,0,-258.087,-189.497
-102,0,-253.148,-186.404
-100,0,-247.901,-183.084
-98,0,-242.351,-179.542
-96,0,-236.507,-175.78
-94,0,-230.374,-171.805
-92,0,-223.96,-167.62
-90,0,-217.274,-163.23
-88,0,-210.323,-158.642
-86,0,-203.116,-153.861
-84,0,-195.661,-148.892
-82,0,-187.968,-143.742
-80,0,-180.046,-138.417
-78,0,-171.904,-132.923
-76,0,-163.553,-127.267
-74,0,-155.003,-121.456
-72,0,-146.264,-115.497
-70,0,-137.347,-109.397
-68,0,-128.262,-103.164
-66,0,-119.021,-96.8055
-64,0,-109.635,-90.3289
-62,0,-100.116,-83.7423
-60,0,-90.4743,-77.0536
-58,0,-80.7226,-70.2711
-56,0,-70.8726,-63.403
-54,0,-60.9363,-56.4576
-52,0,-50.9257,-49.4434
-50,0,-40.853,-42.3689
-48,0,-30.7306,-35.2429
-46,0,-20.5708,-28.0739
-44,0,-10.3859,-20.8707
-42,0,-0.188294,-13.6421
-40,0,10.0095,-6.39689
-38,0,20.1951,0.856142
-36,0,30.3561,8.10813
-34,0,40.4801,15.3502
-32,0,50.5548,22.5736
-30,0,60.5679,29.7695
-28,0,70.5072,36.9292
-26,0,80.3606,44.0438
-24,0,90.1161,51.1048
-22,0,99.7618,58.1035
-20,0,109.286,65.0314
-18,0,118.677,71.8801
-16,0,127.923,78.6412
-14,0,137.014,85.3066
-12,0,145.938,91.8679
-10,0,154.683,98.3174
-8,0,163.241,104.647
-6,0,171.599,110.849
-4,0,179.749,116.916
-2,0,187.679,122.841
0,0,195.381,128.616
2,0,202.845,134.234
4,0,210.061,139.689
6,0,217.022,144.974
8,0,223.718,150.082
10,0,230.142,155.007
12,0,236.285,159.743
14,0,242.141,164.285
16,0,247.701,168.626
18,0,252.96,172.762
20,0,257.91,176.688
22,0,262.546,180.398
24,0,266.863,183.888
26,0,270.854,187.155
28,0,274.515,190.193
30,0,277.842,193
32,0,280.83,195.571
34,0,283.476,197.905
36,0,285.777,199.997
38,0,287.73,201.845
40,0,289.332,203.448
42,0,290.581,204.803
44,0,291.477,205.908
46,0,292.017,206.762
48,0,292.201,207.365
50,0,292.03,207.714
52,0,291.503,207.811
54,0,290.62,207.655
56,0,289.384,207.245
58,0,287.795,206.583
60,0,285.855,205.67
62,0,283.567,204.505
64,0,280.934,203.092
66,0,277.958,201.431
68,0,274.644,199.525
70,0,270.995,197.376
72,0,267.016,194.986
74,0,262.711,192.358
76,0,258.087,189.497
78,0,253.148,186.404
80,0,247.901,183.084
82,0,242.351,179.542
84,0,236.507,175.78
86,0,230.374,171.805
88,0,223.96,167.62
90,0,217.274,163.23
92,0,210.323,158.642
94,0,203.116,153.861
96,0,195.661,148.892
98,0,187.968,143.742
100,0,180.046,138.417
102,0,171.904,132.923
104,0,163.553,127.267
106,0,155.003,121.456
108,0,146.264,115.497
110,0,137.347,109.397
112,0,128.262,103.164
114,0,119.021,96.8055
116,0,109.635,90.3289
118,0,100.116,83.7423
120,0,90.4743,77.0536
122,0,80.7226,70.2711
124,0,70.8726,63.403
126,0,60.9363,56.4576
128,0,50.9257,49.4434
130,0,40.853,42.3689
132,0,30.7306,35.2429
134,0,20.5708,28.0739
136,0,10.3859,20.8707
138,0,0.188294,13.6421
140,0,-10.0095,6.39689
142,0,-20.1951,-0.856142
144,0,-30.3561,-8.10813
146,0,-40.4801,-15.3502
148,0,-50.5548,-22.5736
150,0,-60.5679,-29.7695
152,0,-70.5072,-36.9292
154,0,-80.3606,-44.0438
156,0,-90.1161,-51.1048
158,0,-99.7618,-58.1035
160,0,-109.286,-65.0314
162,0,-118.677,-71.8801
164,0,-127.923,-78.6412
166,0,-137.014,-85.3066
168,0,-145.938,-91.8679
170,0,-154.683,-98.3174
172,0,-163.241,-104.647
174,0,-171.599,-110.849
176,0,-179.749,-116.916
178,0,-187.679,-122.841
180,0,-195.381,-128.616
-180,2,-170.75,-129.536
-178,2,-178.775,-134.833
-176,2,-186.533,-139.967
-174,2,-194.014,-144.932
-172,2,-201.207,-149.724
-170,2,-208.101,-154.339
-168,2,-214.685,-158.771
-166,2,-220.95,-163.016
-164,2,-226.888,-167.071
-162,2,-232.489,-170.932
-160,2,-237.746,-174.594
-158,2,-242.65,-178.054
-156,2,-247.195,-181.309
-154,2,-251.375,-184.356
-152,2,-255.184,-187.192
-150,2,-258.616,-189.815
-148,2,-261.668,-192.221
-146,2,-264.334,-194.408
-144,2,-266.613,-196.375
-142,2,-268.5,-198.119
-140,2,-269.995,-199.639
-138,2,-271.095,-200.932
-136,2,-271.8,-201.999
-134,2,-272.11,-202.836
-132,2,-272.025,-203.444
-130,2,-271.546,-203.822
-128,2,-270.674,-203.969
-126,2,-269.413,-203.885
-124,2,-267.766,-203.569
-122,2,-265.734,-203.022
-120,2,-263.324,-202.244
-118,2,-260.538,-201.235
-116,2,-257.383,-199.996
-114,2,-253.865,-198.527
-112,2,-249.988,-196.831
-110,2,-245.761,-194.907
-108,2,-241.191,-192.758
-106,2,-236.284,-190.385
-104,2,-231.05,-187.79
-102,2,-225.497,-184.976
-100,2,-219.634,-181.944
-98,2,-213.47,-178.698
-96,2,-207.015,-175.239
-94,2,-200.279,-171.572
-92,2,-193.273,-167.7
-90,2,-186.006,-163.625
-88,2,-178.492,-159.353
-86,2,-170.739,-154.886
-84,2,-162.76,-150.229
-82,2,-154.567,-145.387
-80,2,-146.172,-140.364
-78,2,-137.585,-135.165
-76,2,-128.82,-129.796
-74,2,-119.889,-124.262
-72,2,-110.804,-118.569
-70,2,-101.577,-112.722
-68,2,-92.2207,-106.727
-66,2,-82.7478,-100.592
-64,2,-73.1707,-94.3227
-62,2,-63.5017,-87.9258
-60,2,-53.7532,-81.4085
-58,2,-43.9375,-74.778
-56,2,-34.067,-68.0418
-54,2,-24.1538,-61.2077
-52,2,-14.21,-54.2835
-50,2,-4.24742,-47.2771
-48,2,5.72196,-40.197
-46,2,15.6865,-33.0514
-44,2,25.6348,-25.8491
-42,2,35.5554,-18.5985
-40,2,45.4371,-11.3088
-38,2,55.2691,-3.98876
-36,2,65.0406,3.3524
-34,2,74.7409,10.7055
-32,2,84.3597,18.0612
-30,2,93.887,25.4101
-28,2,103.313,32.7427
-26,2,112.627,40.0495
-24,2,121.821,47.321
-22,2,130.885,54.5476
-20,2,139.811,61.7197
-18,2,148.588,68.8276
-16,2,157.21,75.8619
-14,2,165.668,82.813
-12,2,173.953,89.6714
-10,2,182.058,96.4278
-8,2,189.975,103.073
-6,2,197.697,109.597
-4,2,205.217,115.992
-2,2,212.528,122.248
0,2,219.624,128.356
2,2,226.497,134.309
4,2,233.142,140.097
6,2,239.553,145.712
8,2,245.723,151.146
10,2,251.648,156.392
12,2,257.322,161.442
14,2,262.74,166.288
16,2,267.896,170.924
18,2,272.786,175.342
20,2,277.406,179.538
22,2,281.75,183.503
24,2,285.815,187.233
26,2,289.597,190.723
28,2,293.092,193.967
30,2,296.296,196.96
32,2,299.206,199.698
34,2,301.819,202.177
36,2,304.131,204.394
38,2,306.139,206.346
40,2,307.842,208.029
42,2,309.236,209.442
44,2,310.319,210.582
46,2,311.09,211.447
48,2,311.547,212.038
50,2,311.687,212.353
52,2,311.51,212.391
54,2,311.014,212.153
56,2,310.199,211.64
58,2,309.065,210.853
60,2,307.61,209.792
62,2,305.835,208.46
64,2,303.74,206.859
66,2,301.326,204.991
68,2,298.593,202.86
70,2,295.543,200.468
72,2,292.177,197.821
74,2,288.498,194.921
76,2,284.506,191.773
78,2,280.205,188.383
80,2,275.598,184.754
82,2,270.688,180.894
84,2,265.478,176.807
86,2,259.972,172.5
88,2,254.176,167.979
90,2,248.094,163.252
92,2,241.73,158.323
94,2,235.091,153.202
96,2,228.182,147.896
98,2,221.011,142.412
100,2,213.583,136.757
102,2,205.907,130.941
104,2,197.989,124.971
106,2,189.839,118.855
108,2,181.464,112.603
110,2,172.873,106.223
112,2,164.076,99.723
114,2,155.083,93.1127
116,2,145.903,86.4007
118,2,136.547,79.596
120,2,127.026,72.7077
122,2,117.351,65.7449
124,2,107.534,58.7167
126,2,97.587,51.6321
128,2,87.5217,44.5003
130,2,77.3508,37.3303
132,2,67.0872,30.1312
134,2,56.744,22.9119
136,2,46.3346,15.6814
138,2,35.8726,8.44851
140,2,25.3717,1.22207
142,2,14.8459,-5.98926
144,2,4.30945,-13.1769
146,2,-6.22347,-20.3324
148,2,-16.7384,-27.4473
150,2,-27.2209,-34.5135
152,2,-37.6564,-41.5229
154,2,-48.0303,-48.4675
156,2,-58.328,-55.3395
158,2,-68.5349,-62.1314
160,2,-78.6364,-68.8355
162,2,-88.6182,-75.4447
164,2,-98.4659,-81.9517
166,2,-108.165,-88.3497
168,2,-117.702,-94.6319
170,2,-127.062,-100.792
172,2,-136.233,-106.822
174,2,-145.2,-112.718
176,2,-153.95,-118.473
178,2,-162.471,-124.081
180,2,-170.75,-129.536
