"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
0.9,90,-180,-20.2458781918478
0.9,90,-178,-20.1872433031359
0.9,90,-176,-20.1275940935318
0.9,90,-174,-20.0670115564749
0.9,90,-172,-20.0055538283212
0.9,90,-170,-19.9432738388185
0.9,90,-168,-19.8802352624411
0.9,90,-166,-19.8165262595743
0.9,90,-164,-19.7522706149797
0.9,90,-162,-19.6876359927141
0.9,90,-160,-19.6228391359161
0.9,90,-158,-19.5581479489558
0.9,90,-156,-19.4938805085103
0.9,90,-154,-19.4304011571087
0.9,90,-152,-19.3681139338901
0.9,90,-150,-19.3074536881735
0.9,90,-148,-19.248875297485
0.9,90,-146,-19.1928414694487
0.9,90,-144,-19.1398096446073
0.9,90,-142,-19.0902185348984
0.9,90,-140,-19.0444748321451
0.9,90,-138,-19.0029406058482
0.9,90,-136,-18.9659218837576
0.9,90,-134,-18.9336588758684
0.9,90,-132,-18.9063182652895
0.9,90,-130,-18.8839879487523
0.9,90,-128,-18.8666745640678
0.9,90,-126,-18.8543040880976
0.9,90,-124,-18.8467257213811
0.9,90,-122,-18.8437191880695
0.9,90,-120,-18.8450054660979
0.9,90,-118,-18.8502608184251
0.9,90,-116,-18.8591338213498
0.9,90,-114,-18.8712648857367
0.9,90,-112,-18.8863075536964
0.9,90,-110,-18.9039506461685
0.9,90,-108,-18.923940160886
0.9,90,-106,-18.9460997027215
0.9,90,-104,-18.9703481944831
0.9,90,-102,-18.9967136830825
0.9,90,-100,-19.0253422280734
0.9,90,-98,-19.0565011255158
0.9,90,-96,-19.0905760529651
0.9,90,-94,-19.1280620822088
0.9,90,-92,-19.1695488510039
0.9,90,-90,-19.2157004721979
0.9,90,-88,-19.2672309573083
0.9,90,-86,-19.3248760266245
0.9,90,-84,-19.3893621715113
0.9,90,-82,-19.4613737454263
0.9,90,-80,-19.5415187194697
0.9,90,-78,-19.630293585293
0.9,90,-76,-19.7280477658763
0.9,90,-74,-19.8349478465423
0.9,90,-72,-19.9509420066125
0.9,90,-70,-20.07572525505
0.9,90,-68,-20.2087064837158
0.9,90,-66,-20.3489789691128
0.9,90,-64,-20.4952967722827
0.9,90,-62,-20.6460604565678
0.9,90,-60,-20.7993165425134
0.9,90,-58,-20.9527759271343
0.9,90,-56,-21.1038567751121
0.9,90,-54,-21.2497567118241
0.9,90,-52,-21.3875570731824
0.9,90,-50,-21.5143582174094
0.9,90,-48,-21.6274396005683
0.9,90,-46,-21.7244322025402
0.9,90,-44,-21.8034853781216
0.9,90,-42,-21.8634071174142
