"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
0.9,0,0,-22.029524925434
0.9,0,2,-21.7078085719407
0.9,0,4,-21.3795959110219
0.9,0,6,-21.0523314685157
0.9,0,8,-20.7320261885146
0.9,0,10,-20.4233606875155
0.9,0,12,-20.129856784379
0.9,0,14,-19.8540693665815
0.9,0,16,-19.5977705682941
0.9,0,18,-19.3621126233478
0.9,0,20,-19.1477647946807
0.9,0,22,-18.9550247889895
0.9,0,24,-18.783907435121
0.9,0,26,-18.6342142236921
0.9,0,28,-18.5055873028684
0.9,0,30,-18.3975511443739
0.9,0,32,-18.3095445823378
0.9,0,34,-18.2409454119249
0.9,0,36,-18.1910892713283
0.9,0,38,-18.1592841385299
0.9,0,40,-18.1448214535263
0.9,0,42,-18.1469846196787
0.9,0,44,-18.1650554341349
0.9,0,46,-18.1983188366167
0.9,0,48,-18.2460662392658
0.9,0,50,-18.3075976002243
0.9,0,52,-18.3822223242855
0.9,0,54,-18.469259010742
0.9,0,56,-18.5680340181259
0.9,0,58,-18.6778787755435
0.9,0,60,-18.7981257393677
0.9,0,62,-18.9281028717206
0.9,0,64,-19.0671265040654
0.9,0,66,-19.2144924471829
0.9,0,68,-19.3694652212746
0.9,0,70,-19.5312653122839
0.9,0,72,-19.6990544205225
0.9,0,74,-19.8719187658037
0.9,0,76,-20.0488506627511
0.9,0,78,-20.2287287962172
0.9,0,80,-20.4102979257688
0.9,0,82,-20.5921491429618
0.9,0,84,-20.772702299486
0.9,0,86,-20.9501928034931
0.9,0,88,-21.1226655994384
0.9,0,90,-21.2879797115648
0.9,0,92,-21.443827092892
0.9,0,94,-21.5877694716611
0.9,0,96,-21.7172961803275
0.9,0,98,-21.8299043637596
0.9,0,100,-21.9232003863482
0.9,0,102,-21.9950178241661
0.9,0,104,-22.0435436085866
0.9,0,106,-22.0674404981807
0.9,0,108,-22.0659521077543
0.9,0,110,-22.0389771076647
0.9,0,112,-21.9871023062641
0.9,0,114,-21.9115897457137
0.9,0,116,-21.8143195159484
0.9,0,118,-21.6976961569469
0.9,0,120,-21.5645308545913
0.9,0,122,-21.4179133451248
0.9,0,124,-21.2610865481458
0.9,0,126,-21.0973341368372
0.9,0,128,-20.9298875264191
0.9,0,130,-20.7618550592519
0.9,0,132,-20.5961731347108
0.9,0,134,-20.4355769625019
0.9,0,136,-20.2825875036521
0.9,0,138,-20.1395108219698
0.9,0,140,-20.008446254657
0.9,0,142,-19.8913002916654
0.9,0,144,-19.7898036484476
0.9,0,146,-19.7055296050481
0.9,0,148,-19.6399121971197
0.9,0,150,-19.594263250406
0.9,0,152,-19.5697875420685
0.9,0,154,-19.5675955546686
0.9,0,156,-19.5887133703429
