"Freq [GHz]","Theta [deg]","Phi [deg]","ang_deg(rETheta) [deg]"
0.9,90,-180,76.665427320781
0.9,90,-178,76.6173853657246
0.9,90,-176,76.4768703795478
0.9,90,-174,76.2438098766048
0.9,90,-172,75.9180628220945
0.9,90,-170,75.4994152070203
0.9,90,-168,74.9875738138912
0.9,90,-166,74.3821581446028
0.9,90,-164,73.6826904751302
0.9,90,-162,72.8885839958904
0.9,90,-160,71.9991289925437
0.9,90,-158,71.0134770205985
0.9,90,-156,69.9306230299474
0.9,90,-154,68.7493854045472
0.9,90,-152,67.4683839009545
0.9,90,-150,66.0860155016614
0.9,90,-148,64.6004282511383
0.9,90,-146,63.0094932223753
0.9,90,-144,61.3107748805178
0.9,90,-142,59.5015002825833
0.9,90,-140,57.578527797331
0.9,90,-138,55.5383163716896
0.9,90,-136,53.3768968404224
0.9,90,-134,51.0898474110572
0.9,90,-132,48.6722762992792
0.9,90,-130,46.1188155863769
0.9,90,-128,43.4236317612373
0.9,90,-126,40.5804601189929
0.9,90,-124,37.5826722010416
0.9,90,-122,34.4233876847004
0.9,90,-120,31.0956443422374
0.9,90,-118,27.5926414613318
0.9,90,-116,23.9080727352143
0.9,90,-114,20.0365630097977
0.9,90,-112,15.9742179604437
0.9,90,-110,11.7192850723427
0.9,90,-108,7.27290671107915
0.9,90,-106,2.63992108553689
0.9,90,-104,-2.17036379019805
0.9,90,-102,-7.14352927321995
0.9,90,-100,-12.2596670850405
0.9,90,-98,-17.4933924882316
0.9,90,-96,-22.8143496943583
0.9,90,-94,-28.1882432499758
0.9,90,-92,-33.5783358545595
0.9,90,-90,-38.9472558232609
0.9,90,-88,-44.2588866109473
0.9,90,-86,-49.4800913310138
0.9,90,-84,-54.5820642059189
0.9,90,-82,-59.541184147831
0.9,90,-80,-64.3393448290771
0.9,90,-78,-68.9638215554573
0.9,90,-76,-73.4067894500041
0.9,90,-74,-77.6646258109496
0.9,90,-72,-81.7371192235715
0.9,90,-70,-85.6266811914071
0.9,90,-68,-89.3376241550959
0.9,90,-66,-92.8755406506058
0.9,90,-64,-96.2467958662359
0.9,90,-62,-99.4581307699577
0.9,90,-60,-102.516364326491
0.9,90,-58,-105.428179468462
0.9,90,-56,-108.199976787582
0.9,90,-54,-110.83778103644
0.9,90,-52,-113.347187529076
0.9,90,-50,-115.733337791157
0.9,90,-48,-118.000915990316
0.9,90,-46,-120.154159603056
0.9,90,-44,-122.196879385595
0.9,90,-42,-124.132485012984
0.9,90,-40,-125.964013765597
0.9,90,-38,-127.694160418014
0.9,90,-36,-129.32530706722
0.9,90,-34,-130.85955206563
0.9,90,-32,-132.298737534604
0.9,90,-30,-133.644475154209
0.9,90,-28,-134.898170077716
0.9,90,-26,-136.06104292219
0.9,90,-24,-137.134149853113
0.9,90,-22,-138.118400821463
0.9,90,-20,-139.014576033712
0.9,90,-18,-139.823340744565
0.9,90,-16,-140.545258463158
0.9,90,-14,-141.180802658871
0.9,90,-12,-141.73036704526
0.9,90,-10,-142.194274511351
0.9,90,-8,-142.572784759743
0.9,90,-6,-142.866100701467
0.9,90,-4,-143.074373648573
0.9,90,-2,-143.197707337379
0.9,90,0,-143.236160808021
0.9,90,2,-143.189750159525
0.9,90,4,-143.058449193646
0.9,90,6,-142.842188955168
0.9,90,8,-142.540856170755
0.9,90,10,-142.154290582643
0.9,90,12,-141.68228116706
0.9,90,14,-141.12456122016
0.9,90,16,-140.480802286185
0.9,90,18,-139.750606893506
0.9,90,20,-138.93350005429
0.9,90,22,-138.028919472858
0.9,90,24,-137.03620439706
0.9,90,26,-135.95458303672
0.9,90,28,-134.783158464677
0.9,90,30,-133.520892910732
0.9,90,32,-132.166590359097
0.9,90,34,-130.718877368835
0.9,90,36,-129.176182058388
0.9,90,38,-127.536711235108
0.9,90,40,-125.798425716168
0.9,90,42,-123.959013988099
0.9,90,44,-122.015864501243
0.9,90,46,-119.966037109358
0.9,90,48,-117.806234464694
0.9,90,50,-115.532774591769
0.9,90,52,-113.141566421284
0.9,90,54,-110.628090806989
0.9,90,56,-107.987390514093
0.9,90,58,-105.21407389772
0.9,90,60,-102.302338512219
0.9,90,62,-99.2460227061958
0.9,90,64,-96.0386953054981
0.9,90,66,-92.6737956067454
0.9,90,68,-89.1448377742807
0.9,90,70,-85.4456947922603
0.9,90,72,-81.5709764965453
0.9,90,74,-77.5165126728714
0.9,90,76,-73.2799442493555
0.9,90,78,-68.8614117141439
0.9,90,80,-64.2643091195989
0.9,90,82,-59.4960450122378
0.9,90,84,-54.5687217174895
0.9,90,86,-49.4996186306769
0.9,90,88,-44.3113539126206
0.9,90,90,-39.0316135507261
0.9,90,92,-33.6923844005584
0.9,90,94,-28.3287059779849
0.9,90,96,-22.9770486136317
0.9,90,98,-17.6735068807732
0.9,90,100,-12.4520400245156
0.9,90,102,-7.34298014335429
0.9,90,104,-2.37196809221385
0.9,90,106,2.44061225910503
0.9,90,108,7.07972052812971
0.9,90,110,11.5353534373046
0.9,90,112,15.8019661153821
0.9,90,114,19.8777447839911
0.9,90,116,23.7638361532203
0.9,90,118,27.4636103595693
0.9,90,120,30.9820048899019
0.9,90,122,34.3249721639509
0.9,90,124,37.4990354333184
0.9,90,126,40.5109462651006
0.9,90,128,43.3674308531312
0.9,90,130,46.0750101736532
0.9,90,132,48.6398791596655
0.9,90,134,51.0678315227596
0.9,90,136,53.3642188603716
0.9,90,138,55.5339347927655
0.9,90,140,57.5814168278198
0.9,90,142,59.5106603396162
0.9,90,144,61.325240438082
0.9,90,146,63.02833861549
0.9,90,148,64.622771916287
0.9,90,150,66.1110230310152
0.9,90,152,67.4952702035967
0.9,90,154,68.7774162000255
0.9,90,156,69.9591158458248
0.9,90,158,71.0418018239545
0.9,90,160,72.0267085534612
0.9,90,162,72.9148940569084
0.9,90,164,73.7072597827742
0.9,90,166,74.4045683859951
0.9,90,168,75.0074594918867
0.9,90,170,75.5164634803387
0.9,90,172,75.9320133317285
0.9,90,174,76.254454575766
0.9,90,176,76.4840533811007
0.9,90,178,76.6210028181275
0.9,90,180,76.665427320781
2.4,90,-180,-143.972589776554
2.4,90,-178,-144.07350847986
2.4,90,-176,-144.208185774446
2.4,90,-174,-144.376514468461
2.4,90,-172,-144.579316019064
2.4,90,-170,-144.818117552064
2.4,90,-168,-145.094845997382
2.4,90,-166,-145.411481236902
2.4,90,-164,-145.769714446543
2.4,90,-162,-146.170655678836
2.4,90,-160,-146.614626558586
2.4,90,-158,-147.101061086905
2.4,90,-156,-147.628522064314
2.4,90,-154,-148.194825046852
2.4,90,-152,-148.797248457778
2.4,90,-150,-149.432799349586
2.4,90,-148,-150.098500288495
2.4,90,-146,-150.791663814465
2.4,90,-144,-151.510125904845
2.4,90,-142,-152.25241727064
2.4,90,-140,-153.01785945288
2.4,90,-138,-153.806580151264
2.4,90,-136,-154.619448124668
2.4,90,-134,-155.457932068103
2.4,90,-132,-156.32389032135
2.4,90,-130,-157.219299661982
2.4,90,-128,-158.14593246505
2.4,90,-126,-159.104992792864
2.4,90,-124,-160.096723919381
2.4,90,-122,-161.12000249904
2.4,90,-120,-162.171937819776
2.4,90,-118,-163.24749776783
2.4,90,-116,-164.339185468955
2.4,90,-114,-165.436791168197
2.4,90,-112,-166.527242042963
2.4,90,-110,-167.594568040274
2.4,90,-108,-168.619994943795
2.4,90,-106,-169.582168034879
2.4,90,-104,-170.457503018891
2.4,90,-102,-171.220657831132
2.4,90,-100,-171.845121709289
2.4,90,-98,-172.303927563623
2.4,90,-96,-172.570509183636
2.4,90,-94,-172.61974229473
2.4,90,-92,-172.429220452316
2.4,90,-90,-171.980811918914
2.4,90,-88,-171.262507759078
2.4,90,-86,-170.270490880098
2.4,90,-84,-169.011226208543
2.4,90,-82,-167.503211606341
2.4,90,-80,-165.777890742903
2.4,90,-78,-163.879199698607
2.4,90,-76,-161.861385246836
2.4,90,-74,-159.785115845262
2.4,90,-72,-157.712404768032
2.4,90,-70,-155.701269528137
2.4,90,-68,-153.801159367712
2.4,90,-66,-152.049933610866
2.4,90,-64,-150.472696190665
2.4,90,-62,-149.082309508326
2.4,90,-60,-147.881100781718
2.4,90,-58,-146.863187528965
2.4,90,-56,-146.016931193537
2.4,90,-54,-145.327186340949
2.4,90,-52,-144.777171619932
2.4,90,-50,-144.349908864949
2.4,90,-48,-144.029250107724
2.4,90,-46,-143.800547091641
2.4,90,-44,-143.651027243041
2.4,90,-42,-143.569935781306
2.4,90,-40,-143.548494293541
2.4,90,-38,-143.579716952545
2.4,90,-36,-143.65811931707
2.4,90,-34,-143.779352075244
2.4,90,-32,-143.939792496182
2.4,90,-30,-144.136128090556
2.4,90,-28,-144.364967951185
2.4,90,-26,-144.622515514639
2.4,90,-24,-144.904330874266
2.4,90,-22,-145.20520125743
2.4,90,-20,-145.51912603469
2.4,90,-18,-145.839409702772
2.4,90,-16,-146.158844975094
2.4,90,-14,-146.4699603042
2.4,90,-12,-146.765302824417
2.4,90,-10,-147.037728747078
2.4,90,-8,-147.280677673724
2.4,90,-6,-147.488413616813
2.4,90,-4,-147.656222174511
2.4,90,-2,-147.780559040082
2.4,90,0,-147.859149085479
2.4,90,2,-147.89103743447
2.4,90,4,-147.876594488187
2.4,90,6,-147.817476363084
2.4,90,8,-147.716541392264
2.4,90,10,-147.577722989676
2.4,90,12,-147.405859931465
2.4,90,14,-147.206487379845
2.4,90,16,-146.985595823715
2.4,90,18,-146.74937017324
2.4,90,20,-146.503926722424
2.4,90,22,-146.255070438329
2.4,90,24,-146.008097766732
2.4,90,26,-145.767669752289
2.4,90,28,-145.537776151978
2.4,90,30,-145.321803521743
2.4,90,32,-145.122709934886
2.4,90,34,-144.943297622127
2.4,90,36,-144.786564198018
2.4,90,38,-144.656104771091
2.4,90,40,-144.556531953562
2.4,90,42,-144.493878541765
2.4,90,44,-144.475947590219
2.4,90,46,-144.51257542673
2.4,90,48,-144.615773460797
2.4,90,50,-144.799713366342
2.4,90,52,-145.080516992877
2.4,90,54,-145.475807790745
2.4,90,56,-146.003976626998
2.4,90,58,-146.683115547897
2.4,90,60,-147.529584749488
2.4,90,62,-148.556209791446
2.4,90,64,-149.770168069782
2.4,90,66,-151.170722276272
2.4,90,68,-152.747087990296
2.4,90,70,-154.476852917568
2.4,90,72,-156.325437657001
2.4,90,74,-158.247027583138
2.4,90,76,-160.18716298447
2.4,90,78,-162.086779399699
2.4,90,80,-163.887073272453
2.4,90,82,-165.534312376845
2.4,90,84,-166.983741660072
2.4,90,86,-168.202035682351
2.4,90,88,-169.168170343182
2.4,90,90,-169.872949561846
2.4,90,92,-170.317617506821
2.4,90,94,-170.512006768366
2.4,90,96,-170.472578547018
2.4,90,98,-170.220577455855
2.4,90,100,-169.780404459488
2.4,90,102,-169.178230443364
2.4,90,104,-168.440831246711
2.4,90,106,-167.594612923961
2.4,90,108,-166.664801058271
2.4,90,110,-165.674779446717
2.4,90,112,-164.645574118442
2.4,90,114,-163.595484630143
2.4,90,116,-162.539864972754
2.4,90,118,-161.491052241337
2.4,90,120,-160.458434477701
2.4,90,122,-159.448641941526
2.4,90,124,-158.465840195429
2.4,90,126,-157.512099760366
2.4,90,128,-156.587815926373
2.4,90,130,-155.692153241598
2.4,90,132,-154.823491584668
2.4,90,134,-153.979853804823
2.4,90,136,-153.159298042292
2.4,90,138,-152.36026058154
2.4,90,140,-151.581837274018
2.4,90,142,-150.823993301994
2.4,90,144,-150.087692686534
2.4,90,146,-149.374940973379
2.4,90,148,-148.688737497407
2.4,90,150,-148.032937947472
2.4,90,152,-147.4120337687
2.4,90,154,-146.830861986923
2.4,90,156,-146.294266608929
2.4,90,158,-145.806739745256
2.4,90,160,-145.372075713448
2.4,90,162,-144.99307335373
2.4,90,164,-144.671319704764
2.4,90,166,-144.407081692097
2.4,90,168,-144.199321926165
2.4,90,170,-144.045841147731
2.4,90,172,-143.94353494103
2.4,90,174,-143.888738064604
2.4,90,176,-143.87761819422
2.4,90,178,-143.906573827351
2.4,90,180,-143.972589776554
4,90,-180,-59.5272584456061
4,90,-178,-59.4685963187193
4,90,-176,-59.1050221295631
4,90,-174,-58.4471755645895
4,90,-172,-57.5108422101873
4,90,-170,-56.3171822937004
4,90,-168,-54.8934590768063
4,90,-166,-53.2744444419484
4,90,-164,-51.504390244214
4,90,-162,-49.6390079209613
4,90,-160,-47.746436167457
4,90,-158,-45.9059311844655
4,90,-156,-44.2032665254667
4,90,-154,-42.7227601502815
4,90,-152,-41.5373047795744
4,90,-150,-40.6991454286382
4,90,-148,-40.2345494369963
4,90,-146,-40.1444082184901
4,90,-144,-40.4105455666853
4,90,-142,-41.0052622516815
4,90,-140,-41.9006368154094
4,90,-138,-43.0747059803467
4,90,-136,-44.5132494463976
4,90,-134,-46.2075318005503
4,90,-132,-48.1494011406942
4,90,-130,-50.3255471750341
4,90,-128,-52.7126692796384
4,90,-126,-55.274914553371
4,90,-124,-57.9642144793935
4,90,-122,-60.7231473109078
4,90,-120,-63.4890028068467
4,90,-118,-66.197296393764
4,90,-116,-68.7833344566189
4,90,-114,-71.1813705980138
4,90,-112,-73.3218894414686
4,90,-110,-75.1281693159655
4,90,-108,-76.5134455961528
4,90,-106,-77.380022345187
4,90,-104,-77.6219933233996
4,90,-102,-77.1340845015379
4,90,-100,-75.8301335908239
4,90,-98,-73.6741464449511
4,90,-96,-70.7212793619777
4,90,-94,-67.1530736856557
4,90,-92,-63.277978709895
4,90,-90,-59.475682835076
4,90,-88,-56.1022820158739
4,90,-86,-53.4084896416095
4,90,-84,-51.510991608836
4,90,-82,-50.4134715772996
4,90,-80,-50.0481655820861
4,90,-78,-50.3137265826011
4,90,-76,-51.1003103617923
4,90,-74,-52.3026226619328
4,90,-72,-53.8246833435477
4,90,-70,-55.5797895953138
4,90,-68,-57.4882266826935
4,90,-66,-59.4746316448568
4,90,-64,-61.4665600972265
4,90,-62,-63.395390334679
4,90,-60,-65.1999094118993
4,90,-58,-66.8317691933293
4,90,-56,-68.2609059302493
4,90,-54,-69.4786001732236
4,90,-52,-70.4964421405324
4,90,-50,-71.3408102745205
4,90,-48,-72.0439262763055
4,90,-46,-72.6335498874583
4,90,-44,-73.1237218045082
4,90,-42,-73.5087633996805
4,90,-40,-73.7621679352163
4,90,-38,-73.841132809844
4,90,-36,-73.6962863537806
4,90,-34,-73.2847706713728
4,90,-32,-72.5835926975219
4,90,-30,-71.5995374919158
4,90,-28,-70.3724053084069
4,90,-26,-68.9700908358609
4,90,-24,-67.476726449217
4,90,-22,-65.9776690114333
4,90,-20,-64.5461097106235
4,90,-18,-63.2348948124557
4,90,-16,-62.074576583235
4,90,-14,-61.0763598490245
4,90,-12,-60.2375446516722
4,90,-10,-59.5472884425987
4,90,-8,-58.9913751538144
4,90,-6,-58.5555490680629
4,90,-4,-58.2275370538778
4,90,-2,-57.9981167817826
