"Freq [GHz]","Phi [deg]","Theta [deg]","ang_deg(rEPhi) [deg]"
0.9,0,0,58.4066739498191
0.9,0,2,55.6134247645907
0.9,0,4,52.8185479049744
0.9,0,6,50.0337079153861
0.9,0,8,47.2700334318761
0.9,0,10,44.5378461509573
0.9,0,12,41.8464386584228
0.9,0,14,39.2039109695956
0.9,0,16,36.6170698005528
0.9,0,18,34.0913890805212
0.9,0,20,31.6310257189884
0.9,0,22,29.2388815538399
0.9,0,24,26.9167008200355
0.9,0,26,24.6651922353982
0.9,0,28,22.4841655910948
0.9,0,30,20.3726741932761
0.9,0,32,18.3291562834989
0.9,0,34,16.3515703904965
0.9,0,36,14.4375212413045
0.9,0,38,12.5843742745985
0.9,0,40,10.7893579092978
0.9,0,42,9.04965353072878
0.9,0,44,7.36247369773057
0.9,0,46,5.72512939408862
0.9,0,48,4.1350872971855
0.9,0,50,2.5900180633732
0.9,0,52,1.08783657436198
0.9,0,54,-0.37326501479036
0.9,0,56,-1.79479071209096
0.9,0,58,-3.17792002613587
0.9,0,60,-4.52349274330642
0.9,0,62,-5.83199878786971
0.9,0,64,-7.10357289099547
0.9,0,66,-8.33799385366034
0.9,0,68,-9.53468822365699
0.9,0,70,-10.6927382200941
0.9,0,72,-11.8108937325495
0.9,0,74,-12.8875881998068
0.9,0,76,-13.9209581386647
0.9,0,78,-14.9088660505407
0.9,0,80,-15.8489263863184
0.9,0,82,-16.7385342015283
0.9,0,84,-17.5748960874664
0.9,0,86,-18.3550629214649
0.9,0,88,-19.0759639427449
0.9,0,90,-19.7344416297551
0.9,0,92,-20.3272868305844
0.9,0,94,-20.8512735791759
0.9,0,96,-21.3031930155241
0.9,0,98,-21.6798858164378
0.9,0,100,-21.9782725335408
0.9,0,102,-22.1953812261454
0.9,0,104,-22.3283717683409
0.9,0,106,-22.374556202965
0.9,0,108,-22.3314145120323
0.9,0,110,-22.196605176837
0.9,0,112,-21.9679699155624
0.9,0,114,-21.6435320168761
0.9,0,116,-21.221487740241
0.9,0,118,-20.7001903331151
0.9,0,120,-20.0781263270207
0.9,0,122,-19.3538839229671
0.9,0,124,-18.5261134652287
0.9,0,126,-17.5934802333734
0.9,0,128,-16.554610057675
